The Great Litany,heading,hangingIndent,true
"To be said or sung, kneeling, standing, or in procession.",rubric,hangingIndent,true
"O God the Father, Creator of heaven and earth,",leader,hangingIndent,true
Have mercy upon us.,congregation,indent,true
"O God the Son, Redeemer of the world,",leader,hangingIndent,true
Have mercy upon us.,congregation,indent,true
"O God the Holy Ghost, Sanctifier of the faithful,",leader,hangingIndent,true
Have mercy upon us.,congregation,indent,true
"O holy, blessed, and glorious Trinity, one God,",leader,hangingIndent,true
Have mercy upon us.,congregation,indent,true
"Remember not, Lord, our offenses, nor the offenses of our forefathers; neither reward us according to our sins. Spare us, good Lord, spare thy people, whom thou hast redeemed with thy most precious blood, and by thy mercy preserve us for ever.",leader,hangingIndent,true
"Spare us, good Lord",congregation,indent,true
"From all evil and wickedness; from sin; from the crafts and assaults of the devil; from thy wrath, and from everlasting damnation,",leader,hangingIndent,true
"Good Lord, deliver us.",congregation,indent,true
"From all blindness of heart; from pride, vain-glory, and hypocrisy; from envy, hatred, and malice, and all want of charity,",leader,hangingIndent,true
"Good Lord, deliver us.",congregation,indent,true
"From all inordinate and sinful affections; and from all the deceits of the world, the flesh, and the devil,",leader,hangingIndent,true
"Good Lord, deliver us.",congregation,indent,true
"From all false doctrine, heresy, and schism; from hardness of heart, and contempt of thy Word and commandment,",leader,hangingIndent,true
"Good Lord, deliver us.",congregation,indent,true
"From lightning and tempest; from earthquake, fire, and flood; from plague, pestilence, and famine,",leader,hangingIndent,true
"Good Lord, deliver us.",congregation,indent,true
"From all oppression, conspiracy, and rebellion; from violence, battle, and murder; and from dying suddenly and unprepared,",leader,hangingIndent,true
"Good Lord, deliver us.",congregation,indent,true
"By the mystery of thy holy incarnation; by thy holy nativity and submission to the Law; by thy baptism, fasting, and temptation,",leader,hangingIndent,true
"Good Lord, deliver us.",congregation,indent,true
"By thy glorious resurrection and ascension; by the sending of the Holy Ghost; by thy heavenly intercession; and by thy coming again in power and great glory,",leader,hangingIndent,true
"Good Lord, deliver us.",congregation,indent,true
"In all time of our tribulation; in all time of our prosperity; in the hour of death, and in the day of judgment,",leader,hangingIndent,true
"Good Lord, deliver us.",congregation,indent,true
"We sinners do beseech thee to hear us, O Lord God: That it may please thee to rule and govern thy holy Church universal in the right way,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to illuminate all Bishops, Priests, and Deacons, with true knowledge and understanding of thy Word; and that, both by their preaching and living, they may set it forth, and show it accordingly,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to send forth laborers into thy harvest; to prosper their work by thy Holy Ghost; to make thy saving health known unto all nations; and to hasten the coming of thy kingdom,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to give to all thy people increase of grace to hear meekly thy Word, and to receive it with pure affection, and to bring forth the fruits of the Spirit,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to bring into the way of truth all such as have erred, and are deceived,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to give us a heart to love and fear thee, and diligently to live after thy commandments,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to bless and keep all thy people,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to rule the hearts of thy servant N., the President/Sovereign/Prime Minister, and all others in authority, that they may do justice, and show mercy, and walk humbly before thee,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to bless and keep all judges, giving them grace to execute justice, and to maintain truth,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to bless and keep our armed forces by sea, by land, and by air, and to shield them in all dangers and adversities,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to bless and protect all who serve their communities by their labor and learning,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to give and preserve to our use the kindly fruits of the earth, so that in due time we may enjoy them,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to make wars to cease in all the world; and to give to all nations unity, peace, and concord,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to show thy pity upon all prisoners and captives; refugees, the homeless, and the hungry; and all those who are desolate and oppressed,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to preserve all who are in danger by reason of their labor or travel,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to strengthen the bonds of those in Holy Matrimony; to uphold the widowed and abandoned; and to comfort all whose homes are torn by strife,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to protect the unborn and their parents, and to preserve all women in childbirth,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to care for those who have lost children or face infertility, and to provide for young children and orphans,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to visit the lonely and those who grieve; to strengthen all who suffer in mind, body, or spirit; and to comfort with thy presence those who are failing and infirm,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to succor, help, and comfort, all who are in danger, necessity, and tribulation,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to have mercy upon all mankind,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to give us true repentance; to forgive us all our sins, negligences, and ignorances; and to endue us with the grace of thy Holy Spirit to amend our lives according to thy holy Word,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to forgive our enemies, persecutors, and slanderers, and to turn their hearts,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to strengthen such as do stand; and to comfort and help the weak-hearted; and to raise up those who fall; and finally to beat down Satan under our feet,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to grant to all the faithful departed eternal life and peace,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"That it may please thee to grant that, in the fellowship of [_____________ and] all the saints, we may attain unto thy heavenly kingdom,",leader,hangingIndent,true
"We beseech thee to hear us, good Lord.",congregation,indent,true
"Son of God, we beseech thee to hear us.",leader,hangingIndent,true
"Son of God, we beseech thee to hear us.",congregation,indent,true
"O Lamb of God, that takest away the sins of the world;",leader,hangingIndent,true
Have mercy upon us.,congregation,indent,true
"O Lamb of God, that takest away the sins of the world;",leader,hangingIndent,true
Have mercy upon us.,congregation,indent,true
"O Lamb of God, that takest away the sins of the world;",leader,hangingIndent,true
Have mercy upon us.,congregation,indent,true
"O Christ, hear us.",leader,hangingIndent,true
"O Christ, hear us.",congregation,indent,true
